dd,mm,yy,occurrence
1,1,1940,4
2,1,1940,2
3,1,1940,3
4,1,1940,0
5,1,1940,1
6,1,1940,2
7,1,1940,2
8,1,1940,1
9,1,1940,1
10,1,1940,0
11,1,1940,0
12,1,1940,1
13,1,1940,1
14,1,1940,0
15,1,1940,1
16,1,1940,1
17,1,1940,1
18,1,1940,2
19,1,1940,1
20,1,1940,1
21,1,1940,0
22,1,1940,0
23,1,1940,0
24,1,1940,1
25,1,1940,1
26,1,1940,1
27,1,1940,0
28,1,1940,0
29,1,1940,0
30,1,1940,3
31,1,1940,1
1,2,1940,2
2,2,1940,3
3,2,1940,1
4,2,1940,2
5,2,1940,0
6,2,1940,0
7,2,1940,1
8,2,1940,1
9,2,1940,0
10,2,1940,0
11,2,1940,0
12,2,1940,1
13,2,1940,2
14,2,1940,2
15,2,1940,3
16,2,1940,3
17,2,1940,0
18,2,1940,3
19,2,1940,0
20,2,1940,0
21,2,1940,1
22,2,1940,1
23,2,1940,0
24,2,1940,1
25,2,1940,0
26,2,1940,3
27,2,1940,2
28,2,1940,2
29,2,1940,2
1,3,1940,1
2,3,1940,1
3,3,1940,3
4,3,1940,1
5,3,1940,1
6,3,1940,0
7,3,1940,0
8,3,1940,1
9,3,1940,1
10,3,1940,4
11,3,1940,1
12,3,1940,2
13,3,1940,3
14,3,1940,1
15,3,1940,2
16,3,1940,1
17,3,1940,0
18,3,1940,1
19,3,1940,0
20,3,1940,3
21,3,1940,0
22,3,1940,1
23,3,1940,1
24,3,1940,0
25,3,1940,1
26,3,1940,0
27,3,1940,1
28,3,1940,1
29,3,1940,1
30,3,1940,0
31,3,1940,2
1,4,1940,1
2,4,1940,0
3,4,1940,1
4,4,1940,0
5,4,1940,0
6,4,1940,1
7,4,1940,1
8,4,1940,1
9,4,1940,1
10,4,1940,0
11,4,1940,4
12,4,1940,4
13,4,1940,0
14,4,1940,0
15,4,1940,2
16,4,1940,0
17,4,1940,1
18,4,1940,2
19,4,1940,2
20,4,1940,0
21,4,1940,2
22,4,1940,1
23,4,1940,1
24,4,1940,0
25,4,1940,2
26,4,1940,2
27,4,1940,0
28,4,1940,0
29,4,1940,0
30,4,1940,0
1,5,1940,3
2,5,1940,2
3,5,1940,1
4,5,1940,1
5,5,1940,3
6,5,1940,0
7,5,1940,1
8,5,1940,0
9,5,1940,1
10,5,1940,1
11,5,1940,2
12,5,1940,4
13,5,1940,2
14,5,1940,1
15,5,1940,1
16,5,1940,2
17,5,1940,0
18,5,1940,1
19,5,1940,2
20,5,1940,3
21,5,1940,1
22,5,1940,0
23,5,1940,0
24,5,1940,0
25,5,1940,3
26,5,1940,2
27,5,1940,0
28,5,1940,1
29,5,1940,1
30,5,1940,3
31,5,1940,0
1,6,1940,0
2,6,1940,0
3,6,1940,0
4,6,1940,2
5,6,1940,1
6,6,1940,0
7,6,1940,2
8,6,1940,0
9,6,1940,2
10,6,1940,0
11,6,1940,1
12,6,1940,1
13,6,1940,0
14,6,1940,1
15,6,1940,0
16,6,1940,0
17,6,1940,1
18,6,1940,1
19,6,1940,0
20,6,1940,0
21,6,1940,2
22,6,1940,2
23,6,1940,2
24,6,1940,0
25,6,1940,1
26,6,1940,0
27,6,1940,1
28,6,1940,1
29,6,1940,1
30,6,1940,0
1,7,1940,0
2,7,1940,0
3,7,1940,1
4,7,1940,1
5,7,1940,1
6,7,1940,1
7,7,1940,0
8,7,1940,0
9,7,1940,2
10,7,1940,1
11,7,1940,1
12,7,1940,1
13,7,1940,0
14,7,1940,1
15,7,1940,2
16,7,1940,1
17,7,1940,0
18,7,1940,3
19,7,1940,0
20,7,1940,0
21,7,1940,1
22,7,1940,0
23,7,1940,2
24,7,1940,0
25,7,1940,4
26,7,1940,1
27,7,1940,0
28,7,1940,1
29,7,1940,1
30,7,1940,1
31,7,1940,3
1,8,1940,1
2,8,1940,0
3,8,1940,1
4,8,1940,1
5,8,1940,3
6,8,1940,0
7,8,1940,1
8,8,1940,1
9,8,1940,0
10,8,1940,1
11,8,1940,0
12,8,1940,0
13,8,1940,0
14,8,1940,1
15,8,1940,2
16,8,1940,1
17,8,1940,0
18,8,1940,0
19,8,1940,1
20,8,1940,0
21,8,1940,0
22,8,1940,2
23,8,1940,1
24,8,1940,2
25,8,1940,1
26,8,1940,2
27,8,1940,1
28,8,1940,1
29,8,1940,0
30,8,1940,0
31,8,1940,1
1,9,1940,2
2,9,1940,2
3,9,1940,0
4,9,1940,1
5,9,1940,1
6,9,1940,0
7,9,1940,1
8,9,1940,0
9,9,1940,2
10,9,1940,0
11,9,1940,0
12,9,1940,0
13,9,1940,2
14,9,1940,1
15,9,1940,1
16,9,1940,2
17,9,1940,2
18,9,1940,3
19,9,1940,1
20,9,1940,0
21,9,1940,1
22,9,1940,0
23,9,1940,0
24,9,1940,1
25,9,1940,0
26,9,1940,2
27,9,1940,2
28,9,1940,0
29,9,1940,1
30,9,1940,2
1,10,1940,2
2,10,1940,1
3,10,1940,0
4,10,1940,0
5,10,1940,1
6,10,1940,2
7,10,1940,2
8,10,1940,0
9,10,1940,0
10,10,1940,0
11,10,1940,2
12,10,1940,1
13,10,1940,2
14,10,1940,0
15,10,1940,1
16,10,1940,1
17,10,1940,0
18,10,1940,0
19,10,1940,0
20,10,1940,0
21,10,1940,3
22,10,1940,1
23,10,1940,0
24,10,1940,1
25,10,1940,1
26,10,1940,1
27,10,1940,0
28,10,1940,0
29,10,1940,0
30,10,1940,1
31,10,1940,1
1,11,1940,0
2,11,1940,0
3,11,1940,1
4,11,1940,1
5,11,1940,0
6,11,1940,0
7,11,1940,1
8,11,1940,0
9,11,1940,0
10,11,1940,1
11,11,1940,0
12,11,1940,1
13,11,1940,0
14,11,1940,2
15,11,1940,2
16,11,1940,2
17,11,1940,0
18,11,1940,0
19,11,1940,0
20,11,1940,1
21,11,1940,0
22,11,1940,1
23,11,1940,0
24,11,1940,3
25,11,1940,1
26,11,1940,0
27,11,1940,4
28,11,1940,1
29,11,1940,1
30,11,1940,1
1,12,1940,1
2,12,1940,1
3,12,1940,2
4,12,1940,2
5,12,1940,3
6,12,1940,1
7,12,1940,0
8,12,1940,2
9,12,1940,0
10,12,1940,0
11,12,1940,1
12,12,1940,2
13,12,1940,2
14,12,1940,0
15,12,1940,0
16,12,1940,0
17,12,1940,0
18,12,1940,0
19,12,1940,1
20,12,1940,0
21,12,1940,0
22,12,1940,1
23,12,1940,0
24,12,1940,0
25,12,1940,1
26,12,1940,1
27,12,1940,0
28,12,1940,0
29,12,1940,1
30,12,1940,1
31,12,1940,0
