combination,count
9f,6255
3d,12222
q0,2563
0b,6343
6d,8504
d7,10558
7r,7212
r4,18117
4y,6467
t0,12693
e6,18132
8z,5280
z7,5905
9y,4439
g4,8135
8t,7129
t6,12589
0a,10618
a0,29313
0s,8698
1s,16981
b7,7389
4e,11627
x1,18101
5t,10277
f4,8354
b0,7818
1r,9763
k9,9508
n9,14914
0p,5890
9b,6929
2w,14775
e0,19218
8m,9357
v0,5056
8a,12153
d1,42788
0u,3543
u0,4539
2d,11426
0n,10848
z0,5509
9a,12936
m5,8700
v8,6205
4a,14109
o8,8962
8h,5847
l0,12482
y3,13759
t1,45877
r1,75967
t9,10142
h0,8946
k5,9126
y2,28809
2y,5730
3e,12878
g6,8136
5f,7438
2f,8079
2r,9027
2m,11999
i2,15042
2s,12270
v4,5660
4h,6657
l1,41080
1j,7369
o7,10461
1d,12280
c8,7370
t3,13177
0x,3590
q1,17203
5h,6800
i8,8598
5g,7318
5d,9112
d5,10585
5j,6520
j5,5223
j4,5882
b6,7585
6h,6375
h3,9126
f1,26439
a4,19093
p1,17334
h4,8270
8s,8684
m0,11287
7n,7992
n1,81611
x4,6931
a5,20617
5w,6318
4c,7768
k3,11167
3r,14689
l8,7459
h7,7910
n8,14154
y1,74162
p4,7300
4z,5674
c0,8928
p7,6375
7d,8529
b2,12817
g8,7268
8n,7802
x8,5905
9h,5353
9g,5944
a3,24669
1e,8626
6r,7658
4t,10222
q8,3931
8g,6619
0j,3990
0d,7423
e7,17195
n0,19530
8b,7558
j6,4943
6p,5822
2v,6814
v5,6047
z1,19598
9i,5765
d8,9773
9d,7822
c3,10613
3o,5094
o3,10344
l3,10437
6c,7099
4d,9720
u1,13334
h9,6805
k8,9815
3q,12909
s0,17851
f6,7952
2h,7324
6a,13793
z9,5548
b9,6454
1a,22241
n7,16578
b5,7627
e9,16589
r0,19222
d4,12296
3c,9386
1g,8523
n4,15397
8v,6071
v9,4982
7e,7304
e8,14739
8p,5796
r6,15839
6z,5908
z3,6547
y7,14966
x2,11244
2n,9864
5m,10614
a2,59488
w4,6025
4j,6647
3b,8747
n3,17703
3f,7742
m4,9530
x9,5780
8r,7202
k0,10385
7l,5505
k2,19064
m9,7595
9n,7741
1p,9007
3s,11647
r3,17588
d2,19832
2j,6998
1m,14624
5a,14771
0f,4962
4q,7460
1y,3984
2t,8655
1h,6909
4v,6568
r7,15547
0l,6974
5n,9083
f2,15188
o4,11190
4k,10262
c2,12653
2l,7205
6f,6698
f5,8303
5i,5939
i4,8177
4m,14120
m3,10920
3a,18495
d9,9588
h5,7788
x6,6686
m2,16684
2b,11382
3l,7401
r5,15781
5z,6117
n5,14532
4x,5734
9v,5781
r9,14258
t8,10153
w5,5979
g1,24045
o5,8956
g3,8665
3j,6751
o2,22040
3m,11537
2g,7878
8o,4705
1o,6015
b3,9307
2c,10438
0c,6732
s2,33616
a9,23284
2k,10043
o0,11800
a8,21051
8k,6911
7v,6507
s8,13080
1k,8888
3y,5707
4r,12618
h1,26403
1b,13199
t2,21636
9w,4630
3h,6324
s6,14172
y9,11825
4f,8094
i5,7181
p2,10832
7b,7788
l6,8591
9e,6766
b8,7017
0o,4468
4u,9546
d6,10428
f3,9213
1w,9722
3p,7692
u5,6130
y8,11369
8f,6768
1c,11586
2a,15617
4w,5871
6v,6343
h6,8271
s9,13842
9l,5449
3g,7598
q2,9327
6e,6981
l7,8355
7h,6451
7c,7317
j0,4295
4p,6502
i9,8400
9m,9467
g9,6602
9p,5634
8l,5230
e5,16319
7m,9469
2u,6015
1q,18134
p3,7895
l2,17924
x3,8057
3u,5192
k7,10010
u7,6886
7s,9043
b1,18944
i1,29203
m6,8559
c5,7701
5s,9521
2e,11705
t5,13127
j1,9489
j7,5140
z6,5897
q7,4121
5e,7477
0h,3961
y5,12314
4b,8436
v6,5728
0q,3900
3z,6941
4l,8063
0t,6428
1t,10208
2q,8649
h8,7678
6w,5333
d0,12468
7k,7451
w3,10915
6j,5927
7z,5667
j8,4882
8u,5757
0r,10092
5r,8542
3v,7423
j9,4352
y4,12504
6g,6939
x7,7084
7g,6569
7j,6086
p5,6607
8e,7101
7w,5144
p6,6651
6k,7141
s3,17625
o6,10761
5l,5887
7f,6669
7o,4784
5k,7719
7p,5796
7q,5641
h2,14739
w0,6345
z8,6004
w1,14804
1f,8085
6s,8598
w7,5799
q4,4256
g5,7925
1n,12823
w6,5900
6m,9202
7a,13173
a7,22860
3w,7065
w9,4999
9q,5418
5v,7056
9j,5421
0k,5996
5p,6580
f9,6904
5u,5537
7y,6056
8w,5353
7i,5524
0e,4347
c4,8766
r8,13780
4o,4967
v7,5704
3i,5805
e4,22309
7x,5219
g7,7909
0i,4618
k6,9456
k1,38005
i6,7671
l4,8761
4g,7437
v2,9484
t4,13119
p8,5919
1z,6192
9c,6629
9o,4736
0y,3402
5c,7760
6q,6396
s7,14687
2z,6365
z2,14717
u8,8556
i7,8148
u6,6048
w8,5801
4n,9880
m8,8165
o9,10739
9t,6471
a6,20998
0v,5221
l9,8386
0z,4264
6o,4646
3x,5832
9k,6862
9r,6714
u3,6152
8x,4779
1v,6438
8c,7204
p9,5900
7t,7000
q6,4083
t7,11144
s5,12749
k4,9725
9z,5501
i3,8457
1i,6222
z5,5691
v3,7034
3k,8434
8j,6211
3t,8727
c7,7643
z4,5711
l5,7835
j2,7323
q3,5060
8d,8248
f8,7798
n6,16439
6l,5267
u9,5393
8y,5196
1x,4816
d3,13307
5q,6924
4s,10024
b4,8180
7u,6147
6n,8015
9x,4545
5x,5318
6t,7672
3n,10356
9u,4613
8i,5990
u2,10837
v1,15078
j3,5516
q5,4024
6x,5335
1u,4269
2o,5949
8q,4984
2i,6302
f7,8198
6b,7444
6y,6686
c9,6792
m7,8311
5o,5120
u4,6058
q9,3563
6i,5503
